game_nbr,player_count,choose_highest,allow_tray_runout,allow_shelter_runout,path_th,run_time_s
0,4,True,False,False,10,0.021984100341796875
1,4,True,False,False,10,0.015992403030395508
2,4,True,False,False,10,0.020987510681152344
3,4,True,False,False,10,0.027983665466308594
4,4,True,False,False,10,0.018988609313964844
5,4,True,False,False,10,0.01299142837524414
6,4,True,False,False,10,0.018988609313964844
7,4,True,False,False,10,0.020986080169677734
8,4,True,False,False,10,0.03497791290283203
9,4,True,False,False,10,0.027981281280517578
10,4,True,False,False,10,0.013990640640258789
11,4,True,False,False,10,0.023986101150512695
12,4,True,False,False,10,0.02198648452758789
13,4,True,False,False,10,0.015991687774658203
14,4,True,False,False,10,0.017986774444580078
15,4,True,False,False,10,0.026981115341186523
16,4,True,False,False,10,0.01699042320251465
17,4,True,False,False,10,0.01998758316040039
18,4,True,False,False,10,0.020987272262573242
19,4,True,False,False,10,0.032979488372802734
20,4,True,False,False,10,0.025983810424804688
21,4,True,False,False,10,0.018988609313964844
22,4,True,False,False,10,0.01998734474182129
23,4,True,False,False,10,0.016991138458251953
24,4,True,False,False,10,0.01499032974243164
25,4,True,False,False,10,0.017989635467529297
26,4,True,False,False,10,0.016988754272460938
27,4,True,False,False,10,0.015988588333129883
28,4,True,False,False,10,0.019989967346191406
29,4,True,False,False,10,0.020984411239624023
30,4,True,False,False,10,0.018987417221069336
31,4,True,False,False,10,0.016988277435302734
32,4,True,False,False,10,0.01999068260192871
33,4,True,False,False,10,0.018990039825439453
34,4,True,False,False,10,0.017988204956054688
35,4,True,False,False,10,0.0159909725189209
36,4,True,False,False,10,0.02098679542541504
37,4,True,False,False,10,0.015988588333129883
38,4,True,False,False,10,0.017988920211791992
39,4,True,False,False,10,0.023983001708984375
40,4,True,False,False,10,0.01699090003967285
41,4,True,False,False,10,0.014990091323852539
42,4,True,False,False,10,0.01998615264892578
43,4,True,False,False,10,0.01499032974243164
44,4,True,False,False,10,0.014993429183959961
45,4,True,False,False,10,0.01699090003967285
46,4,True,False,False,10,0.01898980140686035
47,4,True,False,False,10,0.017987728118896484
48,4,True,False,False,10,0.01698899269104004
49,4,True,False,False,10,0.019988298416137695
50,4,True,False,False,10,0.019986867904663086
51,4,True,False,False,10,0.027981042861938477
52,4,True,False,False,10,0.01699066162109375
53,4,True,False,False,10,0.01998758316040039
54,4,True,False,False,10,0.019988536834716797
55,4,True,False,False,10,0.016988277435302734
56,4,True,False,False,10,0.017987489700317383
57,4,True,False,False,10,0.032979488372802734
58,4,True,False,False,10,0.021986722946166992
59,4,True,False,False,10,0.02098703384399414
60,4,True,False,False,10,0.020987987518310547
61,4,True,False,False,10,0.025985002517700195
62,4,True,False,False,10,0.026981353759765625
63,4,True,False,False,10,0.025984525680541992
64,4,True,False,False,10,0.02498483657836914
65,4,True,False,False,10,0.021987199783325195
66,4,True,False,False,10,0.02198505401611328
67,4,True,False,False,10,0.02798175811767578
68,4,True,False,False,10,0.025985240936279297
69,4,True,False,False,10,0.026983976364135742
70,4,True,False,False,10,0.02098870277404785
71,4,True,False,False,10,0.027978897094726562
72,4,True,False,False,10,0.024985313415527344
73,4,True,False,False,10,0.021985530853271484
74,4,True,False,False,10,0.01699090003967285
75,4,True,False,False,10,0.015988826751708984
76,4,True,False,False,10,0.015990257263183594
77,4,True,False,False,10,0.017987489700317383
78,4,True,False,False,10,0.016988277435302734
79,4,True,False,False,10,0.014991044998168945
80,4,True,False,False,10,0.02598404884338379
81,4,True,False,False,10,0.016989469528198242
82,4,True,False,False,10,0.01699042320251465
83,4,True,False,False,10,0.016989469528198242
84,4,True,False,False,10,0.01798725128173828
85,4,True,False,False,10,0.017987489700317383
86,4,True,False,False,10,0.013989925384521484
87,4,True,False,False,10,0.01798868179321289
88,4,True,False,False,10,0.023987770080566406
89,4,True,False,False,10,0.018988370895385742
90,4,True,False,False,10,0.019987821578979492
91,4,True,False,False,10,0.02598404884338379
92,4,True,False,False,10,0.030978679656982422
93,4,True,False,False,10,0.023984670639038086
94,4,True,False,False,10,0.021988630294799805
95,4,True,False,False,10,0.024983644485473633
96,4,True,False,False,10,0.025982141494750977
97,4,True,False,False,10,0.01898670196533203
98,4,True,False,False,10,0.0159909725189209
99,4,True,False,False,10,0.021987199783325195
100,4,True,False,False,10,0.025983095169067383
101,4,True,False,False,10,0.022986412048339844
102,4,True,False,False,10,0.02298450469970703
103,4,True,False,False,10,0.018985271453857422
104,4,True,False,False,10,0.020995378494262695
105,4,True,False,False,10,0.029982328414916992
106,4,True,False,False,10,0.03497576713562012
107,4,True,False,False,10,0.026984453201293945
108,4,True,False,False,10,0.02498459815979004
109,4,True,False,False,10,0.021986007690429688
110,4,True,False,False,10,0.01798868179321289
111,4,True,False,False,10,0.01898956298828125
112,4,True,False,False,10,0.024982452392578125
113,4,True,False,False,10,0.022986173629760742
114,4,True,False,False,10,0.019989013671875
115,4,True,False,False,10,0.02398514747619629
116,4,True,False,False,10,0.02898120880126953
117,4,True,False,False,10,0.019987821578979492
118,4,True,False,False,10,0.029981613159179688
119,4,True,False,False,10,0.02798295021057129
120,4,True,False,False,10,0.02498316764831543
121,4,True,False,False,10,0.01798868179321289
122,4,True,False,False,10,0.02498459815979004
